,Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount Clean,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount
1134,2,M920,SATELLITE ACADEMY - M,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2022-10-28,2023-04-27,2023-03-08,21510.0,26777.0,26777.0
1135,2,M920,SATELLITE ACADEMY - M,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-09-08,2024-07-03,,277240.0,259350.0,194600.0
1136,2,M920,SATELLITE ACADEMY - M,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-09-08,2024-07-03,,153291.0,141258.0,95322.0
1141,3,M009,P.S. 9 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,2019-06-26,2019-11-27,2019-09-17,73499.0,85445.0,85445.0
1142,3,M009,P.S. 9 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,2019-09-26,2020-03-03,2020-02-11,354838.0,371237.0,352714.0
1143,3,M009,P.S. 9 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,2021-08-16,2023-08-15,,7569284.0,6993424.0,4838214.0
1144,3,M009,P.S. 9 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,2021-08-16,2023-08-15,,533487.0,503088.0,502454.0
1145,3,M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
1146,3,M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,,0.0,0.0,0.0
1147,3,M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
1148,3,M009,P.S. 9 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
1157,3,M044,P.S. 334 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,2021-06-14,2021-12-13,2021-09-16,192000.0,195679.0,186405.0
1158,3,M044,P.S. 334 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,2021-10-20,2022-06-30,2022-04-25,960000.0,444040.0,444040.0
1159,3,M044,P.S. 334 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,2023-09-05,2025-09-03,,21600000.0,19625837.0,4854326.0
1160,3,M044,P.S. 334 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,2023-09-05,2025-09-03,,1345280.0,214466.0,210972.0
1163,3,M044,P.S. 334 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LABS,F&E,In-Progress,2023-08-08,,,135342.0,135342.0,98308.0
1173,3,M054,I.S. 54 - MANHATTAN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Scope,Complete,2018-10-05,2019-03-13,2018-12-03,100920.0,96284.0,96284.0
1174,3,M054,I.S. 54 - MANHATTAN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Design,Complete,2018-12-12,2019-05-15,2019-05-13,403680.0,438699.0,425039.0
1175,3,M054,I.S. 54 - MANHATTAN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,Construction,In-Progress,2019-10-03,2021-10-01,,7569000.0,7735513.0,7152878.0
1176,3,M054,I.S. 54 - MANHATTAN,SCA CIP,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,"CM,F&E",In-Progress,2019-10-03,2021-10-01,,470960.0,1175475.0,1167107.0
1177,3,M054,I.S. 54 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,2023-06-05,2023-12-04,2023-10-12,142980.0,146650.0,146039.0
1178,3,M054,I.S. 54 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Design,Complete,2023-10-18,2024-06-11,2024-04-10,714900.0,298240.0,293842.0
1179,3,M054,I.S. 54 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,2024-08-15,2026-08-14,,16085250.0,14449461.0,2904228.0
1180,3,M054,I.S. 54 - MANHATTAN,SCA CIP,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,2024-08-15,2026-08-14,,1000860.0,111016.0,108779.0
1186,3,M075,P.S. 75 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,2019-10-30,2020-04-29,2020-02-13,14136.0,28906.0,28906.0
1187,3,M075,P.S. 75 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,2020-02-25,2020-08-18,2020-04-08,63611.0,123740.0,123053.0
1188,3,M075,P.S. 75 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,2021-08-16,2022-11-08,,819872.0,933793.0,788260.0
1189,3,M075,P.S. 75 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,2021-08-16,2022-11-08,,151959.0,295833.0,291128.0
1190,3,M075,P.S. 75 - MANHATTAN,SCA CIP,ROOFS / STAIRWELL WINDOWS / PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY,Scope,Complete,2023-08-03,2023-12-20,2023-12-29,136647.0,246429.0,241734.0
1191,3,M075,P.S. 75 - MANHATTAN,SCA CIP,ROOFS / STAIRWELL WINDOWS / PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY,Design,Complete,2024-01-12,2024-06-13,2024-05-14,672871.0,601607.0,601607.0
1192,3,M075,P.S. 75 - MANHATTAN,SCA CIP,ROOFS / STAIRWELL WINDOWS / PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY,Construction,In-Progress,2024-10-14,2027-04-11,,14242786.0,12900657.0,147982.0
1193,3,M075,P.S. 75 - MANHATTAN,SCA CIP,ROOFS / STAIRWELL WINDOWS / PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY,"CM,F&E",In-Progress,2024-10-14,2027-04-11,,1034290.0,147354.0,146989.0
1194,3,M075,P.S. 75 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,2023-07-19,2023-11-17,2023-07-26,4800.0,2655.0,2655.0
1195,3,M075,P.S. 75 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,2023-07-26,2024-01-24,2023-11-01,21600.0,10624.0,10624.0
1196,3,M075,P.S. 75 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2024-02-28,2024-12-23,,278400.0,247110.0,61705.0
1197,3,M075,P.S. 75 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2024-02-28,2024-12-23,,126375.0,109445.0,50856.0
1203,3,M076,P.S. 76 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS,Scope,Complete,2022-09-30,2023-02-21,2023-01-11,142110.0,156241.0,130231.0
1204,3,M076,P.S. 76 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS,Design,Complete,2023-01-24,2023-06-26,2023-05-04,710551.0,436876.0,436876.0
1205,3,M076,P.S. 76 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS,Construction,In-Progress,2023-07-25,2026-01-19,,15987375.0,14670233.0,10396170.0
1206,3,M076,P.S. 76 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS,"CM,F&E",In-Progress,2023-07-25,2026-01-19,,994770.0,1099663.0,1080042.0
1207,3,M076,P.S. 76 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Scope,Complete,2023-03-07,2023-07-06,2023-03-08,4980.0,2272.0,2272.0
1208,3,M076,P.S. 76 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Design,Complete,2023-03-08,2023-08-31,2023-05-03,22410.0,9088.0,9088.0
1209,3,M076,P.S. 76 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,Construction,In-Progress,2023-12-08,2024-12-06,,288840.0,262622.0,161083.0
1210,3,M076,P.S. 76 - MANHATTAN,SCA CIP,IPDVS INSTALLATIONS,"CM,F&E",In-Progress,2023-12-08,2024-12-06,,134058.0,115569.0,105015.0
1217,3,M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUND UPGRADE,Scope,Complete,2018-07-02,2018-10-01,2018-10-12,0.0,30736.0,30736.0
1218,3,M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUND UPGRADE,Design,Complete,2018-10-29,2019-03-19,2019-05-20,51733.0,66374.0,64914.0
1219,3,M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUND UPGRADE,Construction,In-Progress,2019-09-10,2020-09-08,,758756.0,749781.0,709122.0
1220,3,M084,P.S. 84 - MANHATTAN,SCA CIP RESOA,FY18 RESO A PLAYGROUND UPGRADE,"CM,F&E",In-Progress,2019-09-10,2020-09-08,,51733.0,103596.0,71789.0
1222,3,M084,P.S. 84 - MANHATTAN,SCA Furniture & Equipment,FY21 RESO A MOBILE SCIENCE LABS,F&E,PNS,,,,50000.0,50000.0,0.0
1224,3,M087,P.S. 87 - MANHATTAN,SCA CIP,WINDOWS / RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS / PARAPETS / EXTERIOR MASONRY / EXTERIOR DOORS,Scope,Complete,2018-06-19,2019-03-06,2018-11-30,387378.0,236739.0,236739.0
1225,3,M087,P.S. 87 - MANHATTAN,SCA CIP,WINDOWS / RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS / PARAPETS / EXTERIOR MASONRY / EXTERIOR DOORS,Design,Complete,2018-12-05,2019-05-16,2019-04-18,1528452.0,943133.0,912148.0
1226,3,M087,P.S. 87 - MANHATTAN,SCA CIP,WINDOWS / RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS / PARAPETS / EXTERIOR MASONRY / EXTERIOR DOORS,Construction,In-Progress,2019-12-16,2022-06-02,,26768125.0,26071859.0,24017570.0
1227,3,M087,P.S. 87 - MANHATTAN,SCA CIP,WINDOWS / RPZ BACKFLOW PREVENTION DEVICES / PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / ROOFS / PARAPETS / EXTERIOR MASONRY / EXTERIOR DOORS,"CM,F&E",In-Progress,2019-12-16,2022-06-02,,2081581.0,1868402.0,1805318.0
1231,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,CHILLER REPLACEMENT / FIRE ALARM REPLACEMENT / BMS UPGRADE,Scope,Complete,2021-08-04,2021-11-03,2021-12-08,157660.0,186862.0,186862.0
1232,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,CHILLER REPLACEMENT / FIRE ALARM REPLACEMENT / BMS UPGRADE,Design,Complete,2021-12-08,2022-06-13,2023-05-08,788300.0,735697.0,503216.0
1233,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,CHILLER REPLACEMENT / FIRE ALARM REPLACEMENT / BMS UPGRADE,Construction,In-Progress,2023-07-10,2025-07-08,,17736750.0,15864981.0,5747671.0
1234,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,CHILLER REPLACEMENT / FIRE ALARM REPLACEMENT / BMS UPGRADE,"CM,F&E",In-Progress,2023-07-10,2025-07-08,,1104652.0,491435.0,477365.0
1235,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,FLOOD ELIMINATION,Scope,Complete,2023-01-20,2023-06-06,2023-08-10,29051.0,63165.0,60250.0
1236,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,FLOOD ELIMINATION,Design,Complete,2023-08-25,2024-01-31,2024-02-05,145255.0,112411.0,106358.0
1237,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,FLOOD ELIMINATION,Construction,PNS,,,,3268229.0,3268229.0,174452.0
1238,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,FLOOD ELIMINATION,"CM,F&E",PNS,,,,203356.0,203356.0,38263.0
1239,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,ROOFS / EXTERIOR MASONRY,Scope,Complete,2023-06-21,2023-11-06,2023-11-01,70724.0,90254.0,88997.0
1240,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,ROOFS / EXTERIOR MASONRY,Design,Complete,2023-11-08,2024-04-12,2024-04-22,353618.0,236291.0,229398.0
1241,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,ROOFS / EXTERIOR MASONRY,Construction,PNS,,,,7956390.0,7956390.0,44118.0
1242,3,M088,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,SCA CIP,ROOFS / EXTERIOR MASONRY,"CM,F&E",PNS,,,,495064.0,495064.0,31419.0
1243,3,M088,J.H.S. 860 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
1244,3,M088,J.H.S. 860 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Design,PNS,,,,0.0,0.0,0.0
1245,3,M088,J.H.S. 860 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
1246,3,M088,J.H.S. 860 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A KITCHEN UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
1253,3,M113,P.S. 241 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / EXTERIOR DOORS / PARAPETS,Scope,Complete,2021-06-02,2021-10-18,2021-11-09,68681.0,65778.0,65778.0
1254,3,M113,P.S. 241 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / EXTERIOR DOORS / PARAPETS,Design,Complete,2021-11-19,2022-04-25,2022-05-05,335836.0,270950.0,270950.0
1255,3,M113,P.S. 241 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / EXTERIOR DOORS / PARAPETS,Construction,In-Progress,2023-06-12,2024-12-02,,6901376.0,7652260.0,5856589.0
1256,3,M113,P.S. 241 - MANHATTAN,SCA CIP,EXTERIOR MASONRY / EXTERIOR DOORS / PARAPETS,"CM,F&E",In-Progress,2023-06-12,2024-12-02,,538335.0,614262.0,597078.0
1258,3,M118,P.S. 333 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,2019-09-13,2020-03-16,2019-10-11,13310.0,11691.0,11691.0
1259,3,M118,P.S. 333 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,2019-11-21,2020-05-19,2020-02-24,66550.0,55261.0,55261.0
1260,3,M118,P.S. 333 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,2024-11-12,2025-11-11,,1497375.0,1347911.0,60786.0
1261,3,M118,P.S. 333 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,2024-11-12,2025-11-11,,93170.0,12204.0,12204.0
1262,3,M118,P.S. 333 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Scope,Complete,2023-08-02,2023-12-01,2023-11-16,10874.0,16008.0,16008.0
1263,3,M118,P.S. 333 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Design,Complete,2023-12-04,2024-05-06,2024-05-03,48933.0,52944.0,45526.0
1264,3,M118,P.S. 333 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Construction,In-Progress,2024-09-09,2025-09-08,,630692.0,557980.0,4343.0
1265,3,M118,P.S. 333 - MANHATTAN,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,"CM,F&E",In-Progress,2024-09-09,2025-09-08,,116896.0,77493.0,57853.0
1266,3,M118,P.S. 333 - MANHATTAN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,51.0,51.0
1267,3,M118,P.S. 333 - MANHATTAN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Design,PNS,,,,33984.0,33933.0,202.0
1268,3,M118,P.S. 333 - MANHATTAN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,498434.0,498434.0,0.0
1269,3,M118,P.S. 333 - MANHATTAN,SCA CIP RESOA,FY24 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,33984.0,33984.0,0.0
1270,3,M118,I.S. 258 - MANHATTAN,SCA CIP RESOA,FY19 RESO A SCIENCE LAB UPGRADES,Scope,PNS,,,,0.0,0.0,0.0
1271,3,M118,I.S. 258 - MANHATTAN,SCA CIP RESOA,FY19 RESO A SCIENCE LAB UPGRADES,Design,PNS,,,,0.0,0.0,0.0
1272,3,M118,I.S. 258 - MANHATTAN,SCA CIP RESOA,FY19 RESO A SCIENCE LAB UPGRADES,Construction,PNS,,,,0.0,0.0,0.0
1273,3,M118,I.S. 258 - MANHATTAN,SCA CIP RESOA,FY19 RESO A SCIENCE LAB UPGRADES,"CM,F&E",PNS,,,,0.0,0.0,0.0
1280,3,M144,P.S. 242 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Scope,Complete,2018-11-15,2019-04-04,2019-03-06,49435.0,50347.0,50347.0
1281,3,M144,P.S. 242 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Design,Complete,2019-03-06,2019-08-05,2021-11-18,197741.0,116925.0,110115.0
1282,3,M144,P.S. 242 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,Construction,In-Progress,2022-07-11,2024-07-09,,3707639.0,3547037.0,3453719.0
1283,3,M144,P.S. 242 - MANHATTAN,SCA CIP,EXTERIOR MASONRY,"CM,F&E",In-Progress,2022-07-11,2024-07-09,,230698.0,248590.0,244572.0
1288,3,M145,WEST PREP ACADEMY - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Scope,Complete,2023-06-15,2023-11-01,2023-11-20,111046.0,121472.0,121472.0
1289,3,M145,WEST PREP ACADEMY - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Design,Complete,2024-02-28,2024-07-30,2024-05-03,555232.0,381748.0,16757.0
1290,3,M145,WEST PREP ACADEMY - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,Construction,PNS,,,,12492730.0,12492730.0,31162.0
1291,3,M145,WEST PREP ACADEMY - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / PARAPETS,"CM,F&E",PNS,,,,777326.0,777326.0,28317.0
1296,3,M149,M811 SPED - MANHATTAN,SCA CIP,ROOFS / WINDOWS / EXTERIOR MASONRY / PARAPETS,Scope,Complete,2023-06-09,2023-12-08,2023-09-22,104451.0,136726.0,136720.0
1297,3,M149,M811 SPED - MANHATTAN,SCA CIP,ROOFS / WINDOWS / EXTERIOR MASONRY / PARAPETS,Design,Complete,2023-10-25,2024-06-10,2024-04-03,522249.0,341234.0,341234.0
1298,3,M149,M811 SPED - MANHATTAN,SCA CIP,ROOFS / WINDOWS / EXTERIOR MASONRY / PARAPETS,Construction,In-Progress,2024-10-14,2026-10-03,,11750625.0,10706118.0,144493.0
1299,3,M149,M811 SPED - MANHATTAN,SCA CIP,ROOFS / WINDOWS / EXTERIOR MASONRY / PARAPETS,"CM,F&E",In-Progress,2024-10-14,2026-10-03,,731150.0,64200.0,64132.0
1300,3,M149,M811 SPED - MANHATTAN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
1301,3,M149,M811 SPED - MANHATTAN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Design,PNS,,,,60000.0,60000.0,0.0
1302,3,M149,M811 SPED - MANHATTAN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,880000.0,880000.0,0.0
1303,3,M149,M811 SPED - MANHATTAN,SCA CIP RESOA,FY25 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,60000.0,60000.0,0.0
1304,3,M149,M811 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
1305,3,M149,M811 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,,0.0,0.0,0.0
1306,3,M149,M811 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
1307,3,M149,M811 SPED - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
1309,3,M163,P.S. 163 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / FLOOD ELIMINATION / PARAPETS,Scope,Complete,2021-06-21,2021-12-20,2021-10-14,203462.0,187227.0,176332.0
1310,3,M163,P.S. 163 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / FLOOD ELIMINATION / PARAPETS,Design,Complete,2021-10-26,2022-06-30,2022-04-22,1012328.0,406150.0,406150.0
1311,3,M163,P.S. 163 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / FLOOD ELIMINATION / PARAPETS,Construction,In-Progress,2022-07-18,2024-07-16,,22346452.0,20415354.0,18015127.0
1312,3,M163,P.S. 163 - MANHATTAN,SCA CIP,ROOFS / EXTERIOR MASONRY / WINDOWS / FLOOD ELIMINATION / PARAPETS,"CM,F&E",In-Progress,2022-07-18,2024-07-16,,1461598.0,497120.0,496092.0
1317,3,M165,P.S. 165 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Scope,Complete,2020-05-15,2021-01-29,2020-10-19,11777.0,34769.0,34769.0
1318,3,M165,P.S. 165 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Design,Complete,2020-10-27,2021-07-28,2021-07-28,52996.0,139085.0,139085.0
1319,3,M165,P.S. 165 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,Construction,In-Progress,2022-06-28,2023-06-27,,683061.0,620702.0,7968.0
1320,3,M165,P.S. 165 - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES,"CM,F&E",In-Progress,2022-06-28,2023-06-27,,126602.0,100860.0,99328.0
1321,3,M165,I.S. 862 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,PNS,,,,0.0,0.0,0.0
1322,3,M165,I.S. 862 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,PNS,,,,0.0,0.0,0.0
1323,3,M165,I.S. 862 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,,,,0.0,0.0,0.0
1324,3,M165,I.S. 862 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,,,,0.0,0.0,0.0
1325,3,M165,P.S. 165 - MANHATTAN,SCA CIP RESOA,FY23 RESO A GYMNASIUM UPGRADE,Scope,Complete,2023-03-13,2023-07-13,2023-10-11,0.0,25716.0,25716.0
1326,3,M165,P.S. 165 - MANHATTAN,SCA CIP RESOA,FY23 RESO A GYMNASIUM UPGRADE,Design,Complete,2023-10-17,2024-03-06,2024-04-22,82500.0,109776.0,83946.0
1327,3,M165,P.S. 165 - MANHATTAN,SCA CIP RESOA,FY23 RESO A GYMNASIUM UPGRADE,Construction,PNS,,,,1210000.0,1750040.0,19075.0
1328,3,M165,P.S. 165 - MANHATTAN,SCA CIP RESOA,FY23 RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,,,,82500.0,119321.0,30312.0
1329,3,M165,I.S. 862 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Scope,Complete,2023-03-13,2023-06-12,2023-11-07,0.0,293.0,293.0
1330,3,M165,I.S. 862 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Design,Complete,2023-11-07,2024-03-14,2024-04-22,9483.0,1171.0,1171.0
1331,3,M165,I.S. 862 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,Construction,PNS,,,,139081.0,139081.0,0.0
1332,3,M165,I.S. 862 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,"CM,F&E",PNS,,,,9483.0,9483.0,3042.0
1338,3,M166,P.S. 166 - MANHATTAN,SCA CIP,MASONRY / ROOFS / PARAPETS / WINDOWS,Scope,Complete,2017-09-29,2018-02-20,2018-03-29,195014.0,274904.0,274904.0
1339,3,M166,P.S. 166 - MANHATTAN,SCA CIP,MASONRY / ROOFS / PARAPETS / WINDOWS,Design,Complete,2019-03-04,2019-08-01,2019-09-13,973425.0,711931.0,634896.0
1340,3,M166,P.S. 166 - MANHATTAN,SCA CIP,MASONRY / ROOFS / PARAPETS / WINDOWS,Construction,In-Progress,2021-04-05,2023-05-24,,21759878.0,22123141.0,19425512.0
1341,3,M166,P.S. 166 - MANHATTAN,SCA CIP,MASONRY / ROOFS / PARAPETS / WINDOWS,"CM,F&E",In-Progress,2021-04-05,2023-05-24,,1377423.0,1327883.0,1294104.0
1342,3,M166,P.S. 166 - MANHATTAN,SCA CIP,FIRE ALARM/MECHANICAL SYSTEMS,Scope,Complete,2019-03-01,2019-05-30,2019-12-13,13750.0,70483.0,70483.0
1343,3,M166,P.S. 166 - MANHATTAN,SCA CIP,FIRE ALARM/MECHANICAL SYSTEMS,Design,Complete,2020-01-15,2020-07-17,2020-06-29,68750.0,159947.0,108387.0
